date,well,serum,sample,replicate,dilution_factor,fastq
230317,A1,none,NewPooledLibrary_fromvRNA,1,,/fh/fast/bloom_j/SR/ngs/illumina/aloes/230315_VH01189_79_AACKYKCM5/Unaligned/Project_aloes/33_NewPooledLibrary_fromvRNA_S17_R1_001.fastq.gz
230317,A2,none,100K_TCID50_rep1,1,1,/fh/fast/bloom_j/SR/ngs/illumina/aloes/230315_VH01189_79_AACKYKCM5/Unaligned/Project_aloes/34_100K_TCID50_rep1_S18_R1_001.fastq.gz
230317,A3,none,50K_TCID50_rep1,1,2,/fh/fast/bloom_j/SR/ngs/illumina/aloes/230315_VH01189_79_AACKYKCM5/Unaligned/Project_aloes/35_50K_TCID50_rep1_S19_R1_001.fastq.gz
230317,A4,none,25K_TCID50_rep1,1,4,/fh/fast/bloom_j/SR/ngs/illumina/aloes/230315_VH01189_79_AACKYKCM5/Unaligned/Project_aloes/36_25K_TCID50_rep1_S20_R1_001.fastq.gz
230317,A5,none,12K_TCID50_rep1,1,8,/fh/fast/bloom_j/SR/ngs/illumina/aloes/230315_VH01189_79_AACKYKCM5/Unaligned/Project_aloes/37_12K_TCID50_rep1_S21_R1_001.fastq.gz
230317,A6,none,100K_TCID50_rep2,2,1,/fh/fast/bloom_j/SR/ngs/illumina/aloes/230315_VH01189_79_AACKYKCM5/Unaligned/Project_aloes/38_100K_TCID50_rep2_S22_R1_001.fastq.gz
230317,A7,none,50K_TCID50_rep2,2,2,/fh/fast/bloom_j/SR/ngs/illumina/aloes/230315_VH01189_79_AACKYKCM5/Unaligned/Project_aloes/39_50K_TCID50_rep2_S23_R1_001.fastq.gz
230317,A8,none,25K_TCID50_rep2,2,4,/fh/fast/bloom_j/SR/ngs/illumina/aloes/230315_VH01189_79_AACKYKCM5/Unaligned/Project_aloes/40_25K_TCID50_rep2_S24_R1_001.fastq.gz
230317,A9,none,12K_TCID50_rep2,2,8,/fh/fast/bloom_j/SR/ngs/illumina/aloes/230315_VH01189_79_AACKYKCM5/Unaligned/Project_aloes/41_12K_TCID50_rep2_S25_R1_001.fastq.gz
230317,A10,none,NewPooledLibrary_fromplasmid,1,,/fh/fast/bloom_j/SR/ngs/illumina/aloes/230315_VH01189_79_AACKYKCM5/Unaligned/Project_aloes/50_NewPooledLibrary_fromplasmid_S34_R1_001.fastq.gz
230417,A11,none,1_100K_TCID50_rep1_MOItest,1,1,/fh/fast/bloom_j/SR/ngs/illumina/aloes/230414_VH00699_296_AACN57VM5/Unaligned/Project_aloes/1_100K_TCID50_rep1_S1_R1_001.fastq.gz
230417,A12,none,2_50K_TCID50_rep1_MOItest,1,2,/fh/fast/bloom_j/SR/ngs/illumina/aloes/230414_VH00699_296_AACN57VM5/Unaligned/Project_aloes/2_50K_TCID50_rep1_S2_R1_001.fastq.gz
230417,A13,none,3_25K_TCID50_rep1_MOItest,1,4,/fh/fast/bloom_j/SR/ngs/illumina/aloes/230414_VH00699_296_AACN57VM5/Unaligned/Project_aloes/3_25K_TCID50_rep1_S3_R1_001.fastq.gz
230417,A14,none,4_12K_TCID50_rep1_MOItest,1,8,/fh/fast/bloom_j/SR/ngs/illumina/aloes/230414_VH00699_296_AACN57VM5/Unaligned/Project_aloes/4_12K_TCID50_rep1_S4_R1_001.fastq.gz
230417,A15,none,5_6K_TCID50_rep1_MOItest,1,16,/fh/fast/bloom_j/SR/ngs/illumina/aloes/230414_VH00699_296_AACN57VM5/Unaligned/Project_aloes/5_6K_TCID50_rep1_S5_R1_001.fastq.gz
230417,A16,none,6_3K_TCID50_rep1_MOItest,1,32,/fh/fast/bloom_j/SR/ngs/illumina/aloes/230414_VH00699_296_AACN57VM5/Unaligned/Project_aloes/6_3K_TCID50_rep1_S6_R1_001.fastq.gz
230417,A17,none,7_2K_TCID50_rep1_MOItest,1,64,/fh/fast/bloom_j/SR/ngs/illumina/aloes/230414_VH00699_296_AACN57VM5/Unaligned/Project_aloes/7_2K_TCID50_rep1_S7_R1_001.fastq.gz
230417,A18,none,8_1K_TCID50_rep1_MOItest,1,128,/fh/fast/bloom_j/SR/ngs/illumina/aloes/230414_VH00699_296_AACN57VM5/Unaligned/Project_aloes/8_1K_TCID50_rep1_S8_R1_001.fastq.gz
230417,A19,none,9_100K_TCID50_rep2_MOItest,2,1,/fh/fast/bloom_j/SR/ngs/illumina/aloes/230414_VH00699_296_AACN57VM5/Unaligned/Project_aloes/9_100K_TCID50_rep2_S9_R1_001.fastq.gz
230417,A20,none,10_50K_TCID50_rep2_MOItest,2,2,/fh/fast/bloom_j/SR/ngs/illumina/aloes/230414_VH00699_296_AACN57VM5/Unaligned/Project_aloes/10_50K_TCID50_rep2_S10_R1_001.fastq.gz
230417,A21,none,11_25K_TCID50_rep2_MOItest,2,4,/fh/fast/bloom_j/SR/ngs/illumina/aloes/230414_VH00699_296_AACN57VM5/Unaligned/Project_aloes/11_25K_TCID50_rep2_S11_R1_001.fastq.gz
230417,A22,none,12_12K_TCID50_rep2_MOItest,2,8,/fh/fast/bloom_j/SR/ngs/illumina/aloes/230414_VH00699_296_AACN57VM5/Unaligned/Project_aloes/12_12K_TCID50_rep2_S12_R1_001.fastq.gz
230417,A23,none,13_6K_TCID50_rep2_MOItest,2,16,/fh/fast/bloom_j/SR/ngs/illumina/aloes/230414_VH00699_296_AACN57VM5/Unaligned/Project_aloes/13_6K_TCID50_rep2_S13_R1_001.fastq.gz
230417,A24,none,14_3K_TCID50_rep2_MOItest,2,32,/fh/fast/bloom_j/SR/ngs/illumina/aloes/230414_VH00699_296_AACN57VM5/Unaligned/Project_aloes/14_3K_TCID50_rep2_S14_R1_001.fastq.gz
230417,A25,none,15_2K_TCID50_rep2_MOItest,2,64,/fh/fast/bloom_j/SR/ngs/illumina/aloes/230414_VH00699_296_AACN57VM5/Unaligned/Project_aloes/15_2K_TCID50_rep2_S15_R1_001.fastq.gz
230417,A26,none,16_1K_TCID50_rep2_MOItest,2,128,/fh/fast/bloom_j/SR/ngs/illumina/aloes/230414_VH00699_296_AACN57VM5/Unaligned/Project_aloes/16_1K_TCID50_rep2_S16_R1_001.fastq.gz
